id,title,company_name,location,via,extensions,posted_at,schedule_type,work_from_home,data_time,salary_pay,salary_rate,salary_avg,salary_min,salary_max,salary_hourly,salary_yearly,salary_standardized,description_tokens
2,Legal Data Analyst,DISYS,United States,via Indeed,"['4 hours ago', '21 to 23 an hour', 'Contractor']",4 hours ago,Contractor,False,00:10.1,21 to 23,an hour,22,21,23,22,,45760,[]
11,Lead Data Analyst,Laka & Company,"Bentonville, AR",via LinkedIn,"['10 hours ago', '100K to 140K a year', 'Full-time']",10 hours ago,Full-time,False,00:12.6,100K to 140K,a year,120000,100000,140000,,120000,120000,"['c', 'ssrs', 'sql', 'ssis', 'python', 'azure']"
20,Junior Data Analyst,Educated Solutions Corp,United States,via My Stateline Jobs,"['8 hours ago', '25 to 26 an hour', 'Full-time', 'Health insurance', 'Dental insurance']",8 hours ago,Full-time,False,00:14.4,25 to 26,an hour,25.5,25,26,25.5,,53040,"['excel', 'word']"
58,Healthcare Data Analyst,Pediatrics Northwest,United States,via Job,"['4 hours ago', '25 an hour', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Full-time,False,00:21.9,25,an hour,25,,,25,,52000,[]
63,Program Management Data Analyst,Citi,United States,via Big Country Jobs,"['8 hours ago', '73,570 to 110,350 a year', 'Full-time']",8 hours ago,Full-time,False,00:24.4,73570 to 110350,a year,91960,73570,110350,,91960,91960,"['sharepoint', 'sas', 'excel']"
64,Institutional Credit Management - Lending Data Analyst - Vice...,Citi,United States,via Big Country Jobs,"['20 hours ago', '105,850 to 158,780 a year', 'Full-time']",20 hours ago,Full-time,False,00:24.4,105850 to 158780,a year,132315,105850,158780,,132315,132315,"['cognos', 'tableau']"
65,Business Analytics Analyst,Citi,United States,via JobServe,"['21 hours ago', '66,740 to 93,120 a year', 'Full-time']",21 hours ago,Full-time,False,00:24.4,66740 to 93120,a year,79930,66740,93120,,79930,79930,"['powerpoints', 'excel']"
97,Flow Cytometry Data Analyst,Actalent,United States,via Indeed,"['6 hours ago', '40 to 52 an hour', 'Full-time']",6 hours ago,Full-time,False,00:31.2,40 to 52,an hour,46,40,52,46,,95680,[]
98,Flow Cytometry Data Analyst,Actalent,United States,via Indeed,"['2 hours ago', '40 to 52 an hour', 'Full-time']",2 hours ago,Full-time,False,00:31.2,40 to 52,an hour,46,40,52,46,,95680,[]
101,"Scientist I (San Diego, CA)",Eurofins,United States,via Built In,"['20 hours ago', '94K to 145K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,False,00:32.3,94K to 145K,a year,119500,94000,145000,,119500,119500,[]
103,"Environmental Monitoring Scientist (San Diego, CA)",Eurofins,United States,via Built In,"['20 hours ago', '52K to 57K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",20 hours ago,Full-time,False,00:32.3,52K to 57K,a year,54500,52000,57000,,54500,54500,[]
147,"Research Data Analyst, Senior",Diaconia LLC,United States,via Adzuna,"['15 hours ago', '65K to 80K a year', 'Full-time']",15 hours ago,Full-time,False,00:26.6,65K to 80K,a year,72500,65000,80000,,72500,72500,"['matlab', 'spreadsheet', 'tableau', 'python', 'vba']"
149,Lead-Data Analyst,EDWARD JONES,"St Robert, MO",via WREG Jobs,"['22 hours ago', '106,916 to 182,047 a year', 'Full-time', 'Health insurance']",22 hours ago,Full-time,False,00:28.4,106916 to 182047,a year,144481.5,106916,182047,,144481.5,144481.5,[]
