id,title,company_name,location,via,extensions,posted_at,schedule_type,work_from_home,data_time,salary_pay,salary_rate,salary_avg,salary_min,salary_max,salary_hourly,salary_yearly,salary_standardized,description_tokens, ,',+,",",-,.,/,2,[,],_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
0,Data Analyst Technical - Consultant,Intermountain Healthcare,"Oklahoma City, OK",via Monster,"['19 hours ago', 'Full-time', 'Health insurance']",19 hours ago,Full-time,,00:10.1,,,,,,,,,"['vba', 'spreadsheet', 'javascript', 'word', 'sql', 'excel', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
1,"Sr Analyst, Data Engineer",Estee Lauder Companies,Oklahoma,via ZipRecruiter,"['12 hours ago', 'Full-time']",12 hours ago,Full-time,,00:10.1,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Legal Data Analyst,DISYS,United States,via Indeed,"['4 hours ago', '21 to 23 an hour', 'Contractor']",4 hours ago,Contractor,,00:10.1,21 to 23,an hour,22,21,23,22,,45760,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Data analyst,Modis,United States,via BeBee,"['13 hours ago', 'No degree mentioned']",13 hours ago,,,00:10.1,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Data Analyst (Risk Adjustment Consulting Research Analyst),Cambia Health Solutions,United States,via LinkedIn,"['23 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",23 hours ago,Full-time,,00:10.1,,,,,,,,,"['sas', 'matlab', 'sql', 'spss', 'r']",1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0
5,"Big Data Lead (Spark, Scala, Kafka, Airflow, NiFi, Snowflake, AWS)",SYSMIND,United States,via LinkedIn,"['4 hours ago', 'Full-time', 'No degree mentioned']",4 hours ago,Full-time,,00:10.1,,,,,,,,,"['spark', 'snowflake', 'scala', 'airflow', 'aws']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0
6,Tax Data Analyst,BJs Wholesale Club,United States,via Adzuna,"['22 hours ago', 'Full-time', 'No degree mentioned']",22 hours ago,Full-time,,00:10.1,,,,,,,,,"['alteryx', 'excel', 'sap']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0
7,Data Analyst,CodeForSouth.org,United States,via Jooble,"['22 hours ago', 'Contractor', 'No degree mentioned']",22 hours ago,Contractor,,00:10.1,,,,,,,,,"['javascript', 'excel', 'python']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0
8,Data Analyst,TEK NINJAS,United States,via LinkedIn,"['24 hours ago', 'Full-time', 'No degree mentioned']",24 hours ago,Full-time,,00:10.1,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Data Scientist, Data Science Strategic Insights",GoHealth,United States,via LinkedIn,"['13 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",13 hours ago,Full-time,,00:10.1,,,,,,,,,"['go', 'numpy', 'matlab', 'sql', 'scikit-learn', 'pandas', 'r', 'python']",1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
